,Squad,rating_adj/20,rank_avg,Championnat,rank_AVG,rank_CrdY,rank_Fls,rank_Won%,rank_+/-,rank_c.,rank_p.,rank_pts
0,Manchester City,19.39,1.2,ANG,1,1,1,3,1,1,1,1
1,Liverpool,18.15,2.4,ANG,2,2,5,2,2,2,2,2
0,Real Madrid,16.7,1.2,ESP,1,1,1,2,1,2,1,1
2,Chelsea,14.54,5.9,ANG,3,8,17,7,3,3,3,3
6,West Ham,14.23,6.2,ANG,7,3,2,9,6,9,7,7
4,Tottenham,14.03,6.4,ANG,5,14,10,6,4,4,4,4
5,Villarreal,13.77,4.5,ESP,6,3,4,4,3,5,4,7
3,Sevilla,13.42,4.9,ESP,4,10,3,7,4,1,6,4
1,Barcelona,13.33,5.0,ESP,2,9,12,5,2,6,2,2
5,Leicester City,12.58,7.8,ANG,6,4,4,13,8,14,5,8
0,Inter,12.23,2.9,ITA,1,2,7,6,1,3,1,2
4,Real Sociedad,12.0,6.5,ESP,5,2,10,3,8,4,14,6
4,Napoli,11.87,3.4,ITA,5,1,3,9,2,1,3,3
6,Betis,11.64,6.9,ESP,7,6,7,13,5,7,5,5
2,Atlético Madrid,11.64,6.9,ESP,3,17,5,8,6,10,3,3
2,Milan,11.58,3.8,ITA,3,3,6,8,3,2,4,1
9,Arsenal,11.55,8.8,ANG,10,11,6,19,5,8,6,5
3,Manchester Utd,11.45,8.9,ANG,4,16,14,1,9,13,8,6
8,Athletic Club,10.84,7.8,ESP,9,7,8,9,7,3,11,8
1,Juventus,10.37,5.5,ITA,2,4,12,3,4,4,11,4
8,Wolves,10.21,10.1,ANG,9,6,7,15,12,5,17,10
0,Paris S-G,10.17,2.9,FRA,1,14,2,2,1,1,1,1
5,Lazio,10.08,5.9,ITA,6,7,1,11,5,10,2,5
2,Marseille,10.0,3.2,FRA,3,3,1,6,3,3,5,2
3,Atalanta,9.87,6.2,ITA,4,5,14,1,6,7,5,8
3,Rennes,9.22,4.5,FRA,4,1,7,11,2,5,2,4
16,Brighton,9.18,11.1,ANG,17,15,12,4,11,6,15,9
14,Crystal Palace,8.77,11.5,ANG,15,13,18,10,7,7,10,12
7,Fiorentina,8.65,7.9,ITA,8,10,5,7,8,8,10,7
17,Brentford,8.25,12.0,ANG,18,9,9,11,13,12,11,13
7,Aston Villa,8.25,12.0,ANG,8,17,15,12,10,11,9,14
11,Celta Vigo,8.17,10.8,ESP,12,5,13,17,9,9,10,11
4,Lyon,8.09,6.4,FRA,5,5,8,4,7,11,3,8
12,Osasuna,8.09,10.9,ESP,13,4,11,6,15,12,16,10
6,Roma,8.01,8.8,ITA,7,20,10,5,7,6,9,6
8,Lens,7.73,7.0,FRA,9,10,5,3,8,8,6,7
11,Newcastle Utd,7.63,12.6,ANG,12,18,11,8,14,15,12,11
1,Monaco,7.5,7.4,FRA,2,17,17,8,4,4,4,3
7,Strasbourg,7.44,7.5,FRA,8,9,18,1,5,6,7,6
6,Nice,7.38,7.6,FRA,7,12,12,7,6,2,10,5
13,Burnley,7.12,13.1,ANG,14,12,13,5,15,10,18,18
7,Espanyol,6.93,12.2,ESP,8,11,2,20,14,16,13,14
9,Bologna,6.51,10.9,ITA,10,13,2,12,13,9,15,13
11,Brest,6.43,9.2,FRA,12,2,6,5,12,14,12,11
12,Sassuolo,6.15,11.4,ITA,13,12,4,18,12,15,7,10
9,Valencia,6.04,13.2,ESP,10,20,20,14,10,15,8,9
8,Torino,5.86,11.8,ITA,9,9,20,16,10,5,14,11
10,Sampdoria,5.79,11.9,ITA,11,15,9,4,14,14,13,15
11,Hellas Verona,5.72,12.0,ITA,12,18,17,13,9,12,6,9
19,Elche,5.69,13.6,ESP,20,13,14,10,13,14,12,13
18,Rayo Vallecano,5.69,13.6,ESP,19,12,16,12,12,11,15,12
10,Everton,5.57,14.6,ANG,11,19,8,17,16,16,14,16
5,Lille,5.35,11.0,FRA,6,20,10,9,10,10,13,10
10,Granada,5.33,14.0,ESP,11,15,6,19,17,17,9,18
9,Nantes,5.3,11.1,FRA,10,15,19,10,9,9,8,9
15,Southampton,5.16,15.0,ANG,16,10,16,16,17,17,13,15
13,Reims,5.12,11.4,FRA,14,6,11,15,11,7,15,12
14,Alavés,4.62,14.8,ESP,15,8,15,1,20,19,20,20
15,Getafe,4.62,14.8,ESP,16,19,19,11,11,8,19,15
13,Udinese,4.58,13.6,ITA,14,16,18,19,11,11,8,12
10,Montpellier,4.46,12.5,FRA,11,13,4,19,14,15,11,13
19,Norwich City,4.33,15.8,ANG,20,5,3,18,20,20,20,20
16,Cádiz,4.27,15.2,ESP,17,14,9,18,16,13,18,17
16,Empoli,4.22,14.1,ITA,17,6,11,20,15,18,12,14
14,Clermont Foot,4.16,13.0,FRA,15,4,3,14,17,17,17,17
13,Levante,3.64,15.9,ESP,14,16,17,16,18,20,7,19
19,Salernitana,3.57,15.0,ITA,20,14,8,2,20,20,19,17
16,Angers,3.57,14.0,FRA,17,8,15,18,13,13,14,14
18,Spezia,3.43,15.2,ITA,19,8,13,15,16,19,16,16
18,Troyes,3.33,14.4,FRA,19,11,9,16,15,12,18,15
18,Watford,3.3,16.8,ANG,19,7,19,14,19,18,19,19
15,Cagliari,2.5,16.5,ITA,16,17,16,14,18,16,17,18
19,Lorient,2.44,15.9,FRA,20,7,16,17,16,16,19,16
14,Venezia,2.43,16.6,ITA,15,19,15,10,19,17,18,20
15,Bordeaux,2.32,16.1,FRA,16,18,13,13,20,20,9,20
17,Mallorca,2.31,17.4,ESP,18,18,18,15,19,18,17,16
17,Genoa,2.29,16.8,ITA,18,11,19,17,17,13,20,19
12,Leeds United,2.17,17.9,ANG,13,20,20,20,18,19,16,17
12,Saint-Étienne,1.84,16.9,FRA,13,16,14,20,19,19,16,18
17,Metz,1.19,18.0,FRA,18,19,20,12,18,18,20,19
